task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
47	26/275869	5933397	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR17866822)	COMPLETED	0	2026-03-26 16:28:09.079	36m 12s	34m 52s	163.1%	37.4 GB	39 GB	50.6 GB	11.4 GB
65	0f/6cb6fd	5934324	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR27320655)	COMPLETED	0	2026-03-26 17:02:51.133	1m 35s	36s	549.3%	11.6 GB	35.7 GB	2.4 GB	1.2 GB
67	99/99cf4c	5934330	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR27320660)	COMPLETED	0	2026-03-26 17:03:23.094	1m 8s	41s	488.4%	11.6 GB	35.7 GB	2.4 GB	1.2 GB
72	2c/e6c397	5934424	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:SPLIT_FILES_TPM (suppa_tpm.txt)	COMPLETED	0	2026-03-26 17:04:35.092	36.7s	14s	76.6%	237.6 MB	339.1 MB	37.9 MB	55.6 MB
78	6e/a3fdc6	5934428	NFCORE_RNASPLICE:RNASPLICE:EDGER_DEU:SUBREAD_FEATURECOUNTS (SRR27320655)	COMPLETED	0	2026-03-26 17:04:51.134	25s	12s	474.8%	623.3 MB	1.2 GB	1.8 GB	442.4 MB
48	96/2c797b	5933410	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:STAR_ALIGN (SRR27320659)	COMPLETED	0	2026-03-26 16:29:16.090	36m 5s	34m 34s	178.3%	37.4 GB	39.1 GB	52.3 GB	12.4 GB
71	f3/9bd1cc	5934425	NFCORE_RNASPLICE:RNASPLICE:DRIMSEQ_DEXSEQ_DTU_SALMON:DRIMSEQ_FILTER (1)	COMPLETED	0	2026-03-26 17:04:39.087	47s	22s	69.5%	764.3 MB	1.6 GB	118 MB	14.2 MB
69	f4/15c28c	5934338	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR17866818)	COMPLETED	0	2026-03-26 17:03:32.298	2m 14s	35s	531.6%	12.6 GB	35.8 GB	2.5 GB	1.1 GB
76	5f/b1670f	5934426	NFCORE_RNASPLICE:RNASPLICE:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR17866822)	COMPLETED	0	2026-03-26 17:04:43.089	1m 13s	44s	479.0%	14.3 GB	35.9 GB	2.8 GB	1.2 GB
73	c5/a8a94b	5934423	NFCORE_RNASPLICE:RNASPLICE:SUPPA_SALMON:PSIPEREVENT (suppa_tpm.txt)	COMPLETED	0	2026-03-26 17:04:31.089	1m 55s	1m 20s	86.5%	2.8 GB	3.2 GB	372.2 MB	193 MB
