sample,fastq_1,fastq_2,strandedness,condition
SRR27320689,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320689_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320689_2.fastq.gz,reverse,normal_locrc
SRR27320690,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320690_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320690_2.fastq.gz,reverse,tumor_locrc
SRR27320691,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320691_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320691_2.fastq.gz,reverse,normal_locrc
SRR27320692,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320692_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320692_2.fastq.gz,reverse,tumor_locrc
SRR27320693,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320693_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320693_2.fastq.gz,reverse,normal_locrc
SRR27320694,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320694_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320694_2.fastq.gz,reverse,tumor_locrc
SRR27320695,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320695_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320695_2.fastq.gz,reverse,normal_locrc
SRR27320696,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320696_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320696_2.fastq.gz,reverse,tumor_locrc
SRR27320697,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320697_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320697_2.fastq.gz,reverse,normal_locrc
SRR27320698,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320698_1.fastq.gz,/home/samarquez/tfm-rnaseq/data/reads/rnaseq/SRR27320698_2.fastq.gz,reverse,tumor_locrc
