Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
SRR27320656_2_val_2	46.52579542608918	11.003314866139839	5.178998793681479	3.2364290311355273	2.1415233927836934	1.6270695623738567	1.2157095161622282	1.04925162914644	0.8869185695681655	11.274136760270604	3.896040752598061	8.05991562852624	2.4369548065911095	1.4420319381028783	0.02590932683069092	0.0
SRR27320657_1	28.91124683040195	8.576425549321137	4.345031733971401	2.801391456580863	2.02974270834727	1.5665696145699597	1.3286230739205847	1.0875043284639518	0.9087471843881056	11.763194115025774	4.577437838603432	12.115053250194492	6.128076561900313	11.441997332312102	1.861504228133339	0.5574541938654561
SRR27320657_1_val_1	30.245285028152267	8.546452372635187	4.2689228872861165	2.7862815620167978	2.0033828378980365	1.5833830115693652	1.3201706674582023	1.072462215631096	0.923711393223962	11.643859520722181	4.569995195019706	11.864882061809217	6.002899981036415	10.853896280493077	1.8408568573557806	0.47355812769246275
SRR27320657_2	34.85391603630787	8.571054682327613	4.1238029743638265	2.580358290435637	1.866416580165743	1.3816869197165078	1.1123198771327538	0.9382824194453481	0.7877887124421036	9.925925445365152	3.810957526289664	11.666744819193308	6.378276243518025	11.01484410031706	0.8881916074218026	0.09943376555757036
SRR27320657_2_val_2	36.55504674752129	8.455621418722954	4.011360078981945	2.525334344869838	1.8511911540305386	1.3336893936647656	1.093141873830287	0.9188791664132769	0.7516407094059253	9.835755949678171	3.78598508945061	11.43069986190531	6.192114476562492	10.34275748001869	0.8184737718976751	0.09830848304604062
SRR27320658_1	40.782899167949715	10.711176270626067	5.230714834969205	3.232992181675797	2.258479614225164	1.8091568113742906	1.3882505878025062	1.1719227627955229	0.9777507111552931	12.14512589920774	4.579122389601589	10.052838966289873	3.128422973450567	2.4090196162796023	0.12212721259713276	0.0
SRR27320658_1_val_1	42.472226426717555	10.556860575352134	5.13466228752136	3.1341843122996047	2.2485718871553795	1.746744496094088	1.3620671460205653	1.136990100357957	0.9573847038541684	11.881334184538163	4.43262391957837	9.721133423885552	2.9029994247277013	2.19116753461255	0.12104957728487628	0.0
SRR27320658_2	46.576811849150204	10.363594681643791	4.784912210022475	2.8422081599376168	1.9735012298108356	1.4909007927797118	1.1753950048372797	0.9821571307826803	0.8669201791411806	10.926475266519112	4.186239822890894	9.547616176011603	2.512314705309001	1.7205477522856685	0.0504050388778418	0.0
SRR27320658_2_val_2	48.46475993023006	10.159164392245843	4.655355240605436	2.7439094777660813	1.8895323681044511	1.4536140703528946	1.123011238894907	1.00950653463816	0.8360756926301413	10.628191471141296	4.067625282087274	9.101374440728325	2.3195083765617057	1.5182219752921924	0.030149508721218802	0.0
SRR27320659_1	36.339659700498295	10.744548127092168	5.191456949477674	3.14225741465778	2.343490827475353	1.8312172180896888	1.48174838243242	1.1918548248000271	1.0394799919169693	13.36649982649402	4.789063827450125	11.066823282738302	4.077990170484549	3.3415281587493526	0.05238129764308494	0.0
SRR27320659_1_val_1	38.100923888408275	10.544029534682027	5.071187470634107	3.110431850031196	2.2942172720674012	1.8043368923700738	1.4369547854598694	1.1892835333316405	1.0294557832520776	13.105683032079252	4.6327954785408725	10.772694697054906	3.8105932221337513	3.0453667584997515	0.05204580145501268	0.0
SRR27320659_2	41.407966656627856	10.192116991286124	4.958066254060666	3.0706195114629793	2.126102715943814	1.6072001431741927	1.2630411561250727	1.0911320355078642	0.9532897974217974	11.592655900638674	4.420932957676736	11.562620733738479	3.688829833971506	2.022393709299843	0.043031603064177	0.0
SRR27320659_2_val_2	43.19292778287448	9.994081635261383	4.80315791771465	3.0041230732646067	2.045863573937002	1.593904724403434	1.2207848908869259	1.0872132827601746	0.922602948258243	11.333194542797456	4.359762102420498	11.19116989935618	3.4318743379280257	1.7972300969171735	0.022109191219873484	0.0
SRR27320660_1	43.33398603320956	10.357786258682086	4.949155699245991	3.1262005664169186	2.1544815462591975	1.6111067041699196	1.2771325612249096	1.0528770668488259	0.9022791878553044	12.039619481453787	4.817049067978489	10.343173271572798	2.446865177304435	1.5099288175480705	0.07835856022995165	0.0
