"","iso_ref","gene_ref","isoform_id","gene_id","condition_1","condition_2","gene_name","gene_biotype","iso_biotype","gene_overall_mean","gene_value_1","gene_value_2","gene_stderr_1","gene_stderr_2","gene_log2_fold_change","gene_q_value","iso_overall_mean","iso_value_1","iso_value_2","iso_stderr_1","iso_stderr_2","iso_log2_fold_change","iso_q_value","IF_overall","IF1","IF2","dIF","isoform_switch_q_value","gene_switch_q_value","PTC","IR","switchConsequencesGene"
"244520","isoComp_00003973","geneComp_00000249","ENST00000861361.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,1.98426744846526,1.62884373850344,1.75759682245061,0.323290384733827,0.44681594785878,0.109110940718522,NA,0.0149581395348837,0.0137714285714286,0.0124619047619048,-0.00130952380952381,0.999823392026522,0.8406220261289,FALSE,0,NA
"244523","isoComp_00003976","geneComp_00000249","ENST00000861364.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,2.07432089464165,3.3142395789312,3.27774137872672,0.997660962787354,0.523021136976222,-0.0159275435302708,NA,0.0224209302325581,0.0299428571428571,0.0480428571428571,0.0181,0.999823392026522,0.8406220261289,FALSE,0,NA
"244526","isoComp_00003979","geneComp_00000249","ENST00000861367.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,1.12975502915108,1.9595956171151,1.49327646477467,1.00346923515107,0.547198569357049,-0.389789099537813,NA,0.0173593023255814,0.0197857142857143,0.0406333333333333,0.020847619047619,0.999823392026522,0.8406220261289,FALSE,0,NA
"244527","isoComp_00003980","geneComp_00000249","ENST00000861368.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,2.48581506586478,2.97824515423508,0.502009759485204,0.77309815110017,0.127940615637192,-2.54505529600949,NA,0.0202395348837209,0.0257904761904762,0.00668571428571429,-0.0191047619047619,0.886386724538686,0.8406220261289,FALSE,2,NA
"244528","isoComp_00003981","geneComp_00000249","ENST00000861369.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,4.71551096674809,6.4159589821208,7.06841513772691,3.69150440327764,2.69822686936859,0.139514604105604,NA,0.0471209302325581,0.0613,0.0884523809523809,0.0271523809523809,0.999823392026522,0.8406220261289,FALSE,0,NA
"244530","isoComp_00003983","geneComp_00000249","ENST00000954830.1","ACSL5","tumor_eocrc","normal_eocrc","ACSL5","protein_coding","protein_coding",132.531096411645,119.074931582292,134.651903602412,12.1710610460993,14.3382214093056,0.177350890993355,NA,1.76968647662788,1.82127785436489,2.07009859220208,0.815696657383419,0.913967470134856,0.183801207042156,NA,0.0119116279069767,0.0143666666666667,0.0119571428571429,-0.00240952380952381,0.999823392026522,0.8406220261289,FALSE,0,NA
"108528","isoComp_00004125","geneComp_00000260","ENST00000360596.7","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,16.9054220082635,16.2807690459288,17.0575267014513,2.81379317204458,3.14961807030854,0.0671992974692334,NA,0.238575581395349,0.292790476190476,0.183961904761905,-0.108828571428571,0.895219436833451,0.357555745926336,FALSE,0,NA
"108531","isoComp_00004128","geneComp_00000260","ENST00000470315.1","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","retained_intron",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,1.34377363644848,1.14035680384237,1.38424169842153,0.199910065514578,0.206758038543504,0.277399272542777,NA,0.0184616279069767,0.0196809523809524,0.014647619047619,-0.00503333333333333,0.998788637329574,0.357555745926336,NA,0,NA
"108532","isoComp_00004129","geneComp_00000260","ENST00000473172.5","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,1.03836665256155,0.597091745034602,0.890669693119388,0.128075181871938,0.1221376483689,0.569083560425627,NA,0.0122279069767442,0.0093047619047619,0.00767619047619048,-0.00162857142857143,0.998788637329574,0.357555745926336,FALSE,0,NA
"108533","isoComp_00004130","geneComp_00000260","ENST00000476922.5","ACSS2","tumor_eocrc","normal_eocrc","ACSS2","protein_coding","protein_coding_CDS_not_defined",79.6434976347451,57.9703177617687,100.577896132087,5.97079789933988,8.74831440175436,0.794821569041023,NA,3.21571063341326,3.44969590395843,3.6202375720055,1.10658192568719,1.94332263842859,0.0694187297306717,NA,0.0542418604651163,0.0727095238095238,0.0630047619047619,-0.0097047619047619,0.999823392026522,0.357555745926336,NA,0,NA
