task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
307	5f/115977	5779759	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866824)	COMPLETED	0	2026-03-19 23:10:20.097	2m 9s	1m 20s	99.3%	218.7 MB	222.1 MB	3 GB	3.3 KB
306	94/86e1fa	5779757	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866823)	COMPLETED	0	2026-03-19 23:10:04.169	2m 25s	1m 20s	99.3%	218.7 MB	222.1 MB	3.1 GB	3.3 KB
311	89/790249	5779771	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866829)	COMPLETED	0	2026-03-19 23:10:54.137	1m 35s	1m 21s	98.2%	11.3 MB	14.9 MB	2.9 GB	69.8 MB
312	ed/5670f8	5779772	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866831)	COMPLETED	0	2026-03-19 23:10:54.153	1m 35s	1m 19s	99.6%	218.7 MB	222.1 MB	3.1 GB	3.3 KB
309	6f/ff4dc7	5779769	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866832)	COMPLETED	0	2026-03-19 23:10:54.105	1m 40s	1m 24s	98.0%	11.1 MB	14.9 MB	2.9 GB	69.3 MB
117	66/b1f682	5779270	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866830)	COMPLETED	0	2026-03-19 22:37:50.231	34m 44s	33m 5s	149.3%	710.6 MB	4.9 GB	57.1 GB	54.5 GB
283	66/38cd41	5779716	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR17866818)	COMPLETED	0	2026-03-19 23:06:30.075	6m 24s	6m 10s	420.4%	19 GB	22.6 GB	21.4 GB	27.7 MB
123	75/49143c	5779280	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866833)	COMPLETED	0	2026-03-19 22:37:55.416	35m 14s	33m 41s	148.2%	705.3 MB	4.8 GB	55.8 GB	53.1 GB
122	d5/b8680b	5779278	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR17866828)	COMPLETED	0	2026-03-19 22:37:55.380	35m 19s	33m 49s	149.4%	720 MB	4.9 GB	57.6 GB	54.9 GB
304	63/4206b5	5779750	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866825)	COMPLETED	0	2026-03-19 23:09:30.086	3m 49s	34s	215.3%	18.2 GB	21.3 GB	17 GB	2.1 MB
303	d0/122b69	5779755	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866820)	COMPLETED	0	2026-03-19 23:10:04.125	3m 15s	36s	203.3%	18.1 GB	21.3 GB	17 GB	2.1 MB
318	a1/d3cff3	5779780	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866824)	COMPLETED	0	2026-03-19 23:12:30.128	1m 34s	1m 22s	98.4%	11.6 MB	15 MB	3 GB	69.2 MB
319	0e/791a2f	5779781	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866831)	COMPLETED	0	2026-03-19 23:12:30.143	1m 34s	1m 23s	98.4%	11.5 MB	15.2 MB	3.1 GB	68.5 MB
316	e0/118a8a	5779778	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866823)	COMPLETED	0	2026-03-19 23:12:30.089	1m 39s	1m 27s	98.1%	11.5 MB	15.1 MB	3.1 GB	69.4 MB
321	3f/4a2ac4	5779784	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866830)	COMPLETED	0	2026-03-19 23:12:35.103	1m 34s	1m 28s	99.5%	218.7 MB	222.3 MB	3.3 GB	3.3 KB
310	97/b01d49	5779770	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866826)	COMPLETED	0	2026-03-19 23:10:54.121	4m	35s	211.7%	18.1 GB	21.3 GB	17 GB	2.1 MB
313	3e/3d7c60	5779775	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866837)	COMPLETED	0	2026-03-19 23:11:49.079	3m 5s	36s	227.3%	18.2 GB	21.3 GB	17 GB	2.1 MB
298	3c/518f84	5779745	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR17866819)	COMPLETED	0	2026-03-19 23:09:05.074	6m 34s	5m 58s	515.4%	19.2 GB	22.7 GB	21.8 GB	27.8 MB
322	03/e91776	5779791	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866833)	COMPLETED	0	2026-03-19 23:13:10.104	2m 34s	1m 27s	99.5%	218.8 MB	222.2 MB	3.4 GB	3.3 KB
323	45/c34ba9	5779793	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT_AFTER_TRIMMING (SRR17866828)	COMPLETED	0	2026-03-19 23:13:15.100	2m 29s	1m 31s	99.5%	219 MB	222.3 MB	3.4 GB	3.3 KB
329	8f/5629e6	5779799	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866830)	COMPLETED	0	2026-03-19 23:14:10.080	1m 34s	1m 27s	98.6%	11.8 MB	15.4 MB	3.3 GB	69.1 MB
297	46/2bfcfb	5779744	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR17866821)	COMPLETED	0	2026-03-19 23:08:50.112	7m 39s	6m 46s	518.7%	19.2 GB	22.7 GB	21.8 GB	27.8 MB
327	33/2ec861	5779797	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866831)	COMPLETED	0	2026-03-19 23:14:05.084	2m 24s	36s	213.3%	18.1 GB	21.3 GB	17 GB	2.1 MB
296	b4/2140e3	5779743	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (SRR17866817)	COMPLETED	0	2026-03-19 23:08:50.075	7m 44s	6m 54s	481.8%	19.5 GB	22.7 GB	21.8 GB	27.9 MB
333	b4/a4fadb	5779931	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866828)	COMPLETED	0	2026-03-19 23:15:45.083	1m 34s	1m 28s	98.6%	11.8 MB	15.5 MB	3.4 GB	69.7 MB
332	34/f61dad	5779932	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (SRR17866833)	COMPLETED	0	2026-03-19 23:15:45.106	1m 34s	1m 29s	98.5%	11.7 MB	15.3 MB	3.4 GB	71.7 MB
334	1c/5cb4c2	5779939	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866830)	COMPLETED	0	2026-03-19 23:16:29.104	1m 30s	35s	216.9%	18.1 GB	21.3 GB	17 GB	2.1 MB
326	46/ddfb89	5779804	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (SRR17866824)	COMPLETED	0	2026-03-19 23:14:54.080	3m 55s	2m 55s	45.7%	18.1 GB	21.3 GB	17 GB	2.1 MB
